Cities,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,10 Percentile,20 Percentile,30 Percentile,40 Percentile,50 Percentile,60 Percentile,70 Percentile,80 Percentile,90 Percentile,Maximum,20 Deg,40 Deg,60 Deg,80 Deg,100 Deg,120 Deg,140 Deg,160 Deg,180 Deg,200 Deg,220 Deg,240 Deg,260 Deg,280 Deg,300 Deg,320 Deg,340 Deg,360 Deg
Abidjan,0.1605,0.0823,0.5762,0.1781,0.0025,0.0003,0.0001,,,,,,,,,,0.06,0.08,0.09,0.13,0.16,0.1,0.1,0.11,0.1,0.07,0.0115,0.0226,0.0348,0.0627,0.5614,0.0566,0.0332,0.0252,0.1033,0.0624,0.006,0.003,0.0021,0.0029,0.0003,0.0002,0.0001,0
Ahmedabad,0.1332,0.0877,0.5977,0.1776,0.0035,0.0002,,,,,,,,,,,0.14,0.08,0.1,0.09,0.08,0.07,0.07,0.1,0.12,0.15,0.0199,0.0263,0.0459,0.1042,0.4184,0.094,0.0559,0.0405,0.1048,0.0685,0.0053,0.0023,0.0016,0.0011,0.0002,0,0,0
Ankara,0.1015,0.0507,0.6772,0.1668,0.0035,0.0003,,,,,,,,,,,0.08,0.09,0.11,0.12,0.15,0.12,0.11,0.1,0.08,0.05,0.0191,0.0325,0.053,0.1141,0.3957,0.1069,0.0511,0.0388,0.0988,0.0643,0.0078,0.0033,0.0018,0.0015,0.0003,0.0002,0.0001,0
Atlanta,0.3094,0.0856,0.5237,0.0794,0.0017,0.0001,0,,,,,,,,,,0.05,0.07,0.06,0.06,0.08,0.08,0.1,0.14,0.16,0.19,0.0215,0.0335,0.0603,0.1173,0.3041,0.1155,0.0681,0.0547,0.1004,0.0673,0.0141,0.0059,0.0036,0.0027,0.0005,0.0002,0.0001,0
Baghdad,0.0653,0.0649,0.723,0.144,0.0018,0.0003,0.0001,0.0003,0.0001,0,0.0002,0,,,,,0.03,0.07,0.11,0.2,0.14,0.1,0.09,0.12,0.09,0.06,0.0118,0.0138,0.0238,0.0584,0.5972,0.0558,0.0243,0.0152,0.1149,0.0707,0.0026,0.0012,0.0013,0.0042,0.0002,0.0001,0,0
Bangdung,0.1973,0.1207,0.5882,0.0919,0.0017,0.0001,,,,,,,,,,,0.07,0.08,0.17,0.12,0.11,0.09,0.1,0.1,0.09,0.09,0.0166,0.0266,0.0394,0.079,0.4562,0.0793,0.0444,0.0379,0.106,0.0737,0.009,0.0046,0.0037,0.0073,0.0007,0.0003,0.0002,0.0001
Bangkok,0.2941,0.0973,0.4989,0.1071,0.002,0.0004,0.0001,0,0,0,,,,,,,0.07,0.08,0.13,0.14,0.1,0.08,0.08,0.09,0.1,0.12,0.0303,0.0218,0.0318,0.0714,0.4877,0.0676,0.0348,0.0273,0.1197,0.0754,0.0062,0.0032,0.0025,0.0042,0.0003,0.0002,0.0001,0
Barcelona,0.1323,0.1287,0.584,0.1503,0.0039,0.0006,0.0001,0.0001,0,0,0,,,,,,0.16,0.11,0.1,0.09,0.1,0.09,0.08,0.09,0.08,0.1,0.0351,0.0457,0.0641,0.1002,0.3074,0.1005,0.0755,0.0639,0.0965,0.0644,0.0137,0.0057,0.0029,0.0023,0.0005,0.0002,0.0001,0
Beijing,0.2003,0.1772,0.4396,0.1721,0.0089,0.001,0.0003,0.0002,0,0,0,0.0003,0,,,,0.14,0.09,0.07,0.06,0.06,0.06,0.07,0.09,0.12,0.23,0.0529,0.0328,0.0423,0.0775,0.4048,0.065,0.0406,0.0396,0.1294,0.0772,0.0093,0.0038,0.0021,0.0027,0.0004,0.0002,0.0001,0.0001
BeloHorizonte,0.0988,0.065,0.6053,0.2227,0.0076,0.0006,0.0001,,,,,,,,,,0.05,0.06,0.07,0.08,0.15,0.15,0.11,0.15,0.12,0.05,0.0196,0.0381,0.0756,0.1114,0.3769,0.1043,0.069,0.0424,0.0858,0.053,0.009,0.0035,0.002,0.0018,0.0006,0.0002,0.0001,0
